,AD4,A,ECO1,SO6,DEV5,D,ECO3,SO8,SO5,STU4,STU2,ECO2,STU3,AD5,S,FA1,AD6,TT1,ECO5,STU1
0,4,3,4,3,4,5,4,4,3,4,4,4,4,4,5,4,4,4,4,4
1,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2
2,4,1,2,3,1,1,5,5,4,3,2,4,5,5,1,3,4,1,3,2
3,2,1,2,3,4,2,4,3,3,4,2,3,3,2,2,2,2,3,4,2
4,5,3,4,3,5,2,4,3,5,3,4,4,4,4,5,4,3,5,4,4
5,2,2,4,2,3,2,3,4,2,3,4,3,3,2,4,3,3,4,4,3
6,4,3,3,5,2,3,2,4,4,4,4,2,4,5,3,3,3,4,3,3
7,3,3,1,4,2,2,2,3,5,2,3,2,3,1,5,3,2,1,4,3
8,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,4,3,4,2
9,1,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,4,1,1
10,4,3,2,3,4,5,3,4,4,4,3,2,3,3,5,4,4,3,3,3
11,3,3,2,4,4,3,1,3,3,4,3,1,4,2,3,2,4,4,2,3
12,5,4,1,5,4,5,2,5,4,5,5,1,5,3,5,3,4,5,1,3
13,4,1,2,1,3,1,2,5,3,5,5,2,5,4,2,2,4,3,1,5
14,3,3,3,1,2,2,3,4,3,3,4,3,4,4,1,4,4,3,3,4
15,4,4,5,2,4,4,4,3,2,3,4,4,4,4,5,3,4,5,3,3
16,4,4,4,2,3,2,2,2,3,4,4,2,4,4,4,4,4,4,4,3
17,5,3,5,1,4,3,3,5,3,5,5,2,5,4,5,3,5,5,5,3
18,4,3,4,2,4,2,2,4,4,4,4,4,4,4,2,4,3,4,2,4
19,4,4,4,4,3,3,3,4,4,4,4,4,4,5,5,3,4,4,4,4
20,3,1,2,1,2,1,1,4,1,4,4,1,4,3,3,3,1,1,3,3
21,4,1,4,1,4,2,2,4,2,4,4,4,4,1,2,4,2,4,5,4
22,4,3,4,2,2,2,4,3,3,2,4,4,4,4,5,3,4,3,4,4
23,3,1,2,3,2,2,3,2,5,4,4,4,4,4,2,2,4,2,3,3
24,5,1,4,2,2,1,3,5,2,2,2,3,2,4,1,3,3,2,4,2
25,4,2,4,4,4,3,4,5,4,4,4,4,4,4,3,5,4,5,4,4
26,4,3,4,1,3,3,2,3,3,4,3,3,3,2,4,3,3,3,3,3
27,2,1,3,3,2,3,4,4,4,5,3,4,3,1,3,4,1,3,3,3
28,3,2,3,1,2,1,4,4,3,4,4,3,4,3,1,3,3,2,4,3
29,4,1,5,1,4,1,4,3,3,3,3,4,3,4,4,5,4,3,3,3
30,4,3,2,1,2,2,1,4,2,5,5,2,5,2,5,3,3,3,4,5
31,4,4,3,4,4,5,4,3,3,4,3,4,4,4,5,4,4,4,4,4
32,4,1,4,1,5,1,3,4,2,5,5,5,5,3,1,4,3,4,4,4
33,4,1,3,1,5,1,3,4,4,5,5,3,5,4,3,1,4,3,4,3
34,3,4,4,2,4,3,4,4,4,3,4,4,4,2,5,4,4,4,5,4
35,3,4,4,1,1,3,1,4,2,4,5,4,3,3,2,2,3,3,3,4
36,4,3,4,2,5,3,3,3,3,2,2,3,3,4,5,3,3,4,4,3
37,4,2,5,1,4,4,5,2,1,3,2,5,4,4,3,4,3,4,5,2
38,4,2,4,3,4,2,4,4,3,4,4,4,4,3,1,4,4,4,4,4
39,4,3,5,1,5,4,3,4,2,5,4,2,4,5,5,3,4,4,4,3
40,4,1,5,4,5,3,4,4,4,4,4,5,4,4,3,3,5,5,4,4
41,3,1,3,3,3,2,2,4,4,4,4,3,4,3,2,4,3,3,3,3
42,5,3,5,1,4,3,4,4,4,5,5,4,4,3,5,4,4,5,4,4
43,2,1,4,2,3,1,2,2,2,4,5,2,4,2,1,2,2,3,2,3
